Year,India,United States,Russian Federation,Rest of the world,South Africa,PR of China,Brazil,Canada,France ,Iceland ,Norway,Ukraine,Venezuela
1995,5129.635076,19792.81892,5386.020376,14308.2212,1765.181809,12853.31012,471.5770158,1039.087801,706.3702198,1.91910619,27.72443151,2141.352353,1.148364335
1996,5332.305867,20541.71057,5438.686766,13979.17456,1862.455593,13171.38588,490.945266,1109.348133,730.5057607,1.94863142,27.21312049,1603.480864,1.18637071
1997,5529.111836,21069.6659,4925.446359,14243.66794,1996.339647,13092.68778,491.2407789,1179.033567,652.1666576,1.7124338,26.78702814,1607.1862,1.40166878
1998,5519.005989,21141.13698,4650.39172,14607.78139,2252.853265,13035.46449,473.5267676,1250.052599,757.0304652,2.06673023,29.57083343,1639.447993,1.78625004
1999,5878.440446,21329.23003,5005.701605,14326.33192,2540.398397,13764.75467,517.9189152,1240.072609,693.661636,1.771483205,28.49139858,1723.77154,2.150188115
2000,6041.423991,22252.91577,5035.716954,15527.51097,2619.963118,14590.46052,536.3075884,1280.115246,660.9305184,2.981996535,28.09371211,1753.405218,2.0723576
2001,6174.513721,21918.16679,4870.238934,15855.13124,2821.729285,16068.1502,531.481589,1351.717332,583.8504607,2.8934219,24.9690321,1699.395644,1.9869659
2002,6390.885289,22228.57603,4924.495659,16117.91315,2827.765139,16392.95039,482.1262477,1268.378024,575.5922394,2.8934219,22.21363268,1683.231745,1.872689355
2003,6539.270572,22181.50569,4985.082197,16883.93436,2948.74723,17091.89114,500.5501706,1180.55359,588.1527529,2.509601295,21.47507255,1887.024773,1.756595045
2004,7253.264266,22943.11706,4870.437187,17259.27373,3065.767934,18260.02278,534.1467891,1208.054012,571.1496259,3.070570115,24.0032218,1751.158832,1.613028535
2005,7643.64934,23292.64703,4778.334378,17719.93941,3111.748385,19546.9957,529.6441387,1265.012787,622.643296,3.454391775,20.42404357,1679.411321,1.48438289
2006,8092.081272,22947.11403,4881.619954,18668.33647,2906.413297,19907.44891,535.572687,1262.332247,578.7696651,3.18866998,17.52661267,1803.423483,3.63496241
2007,8826.964971,23152.20839,4725.348976,19197.36135,2785.859219,21893.92471,563.0595568,1221.919108,599.4887975,3.572490585,19.17417135,1873.465328,5.785540875
2008,9762.660091,22764.16632,4968.244185,19520.7044,2936.71028,21006.84565,551.168446,1116.079357,567.8911814,3.218194155,19.79910799,1862.486782,5.8739657
2009,10840.88354,20295.01698,4010.976435,18493.69527,2715.677121,21680.07399,472.9381536,936.2061001,451.189798,2.8934219,14.88483886,1621.451985,7.102623975
2010,11660.86082,21001.26443,4477.818485,19833.06438,3049.814957,23179.15052,592.1834025,943.3573796,482.7827331,3.129620575,19.31620284,1740.845858,8.3398383
2011,12307.50488,20001.52329,4561.390731,20645.49329,3142.354629,24872.85244,626.9419452,859.1547237,402.4520485,3.100095345,20.25360621,1915.582222,8.581885895
2012,13615.4313,17729.69985,4828.638931,20893.41946,3269.687393,27478.39637,630.3109432,826.48161,471.450957,3.07045512,21.1626037,1935.186492,8.823932435
2013,14328.5962,18120.24841,4485.200513,20669.4939,3312.15977,27942.72321,677.9073558,781.2403626,499.8755013,3.54296641,22.01478945,1886.579989,8.786669835
2014,15992.34323,18092.88516,4357.200688,20549.06439,3407.34259,27007.22343,735.0813632,792.9584216,369.9707718,2.955473835,23.26971617,1571.067466,8.312251105
2015,15698.34485,15694.90648,4910.916401,19999.96536,3351.125828,27493.10109,719.098703,753.574032,347.2571514,3.4248676,22.2034667,1285.727976,5.652716375
2016,15423.84473,14299.2538,4743.238113,20113.78105,3433.063714,27521.82709,684.2963799,673.6298066,346.5167366,3.66106522,21.16261847,1274.331098,4.82644354
2017,16369.49169,13877.24189,4724.339609,20999.37363,3423.858025,28166.80028,725.1359247,737.434259,391.0081691,3.602020035,22.80356969,1120.839442,3.490434795
2018,17321.24876,13447.71833,4980.457734,21514.34907,3422.363438,29661.05928,702.4467613,632.4354642,343.7274484,4.26065337,22.16003446,1240.956136,1.91384596
2019,17414.52287,11534.84352,5291.634271,21896.2195,3294.038985,32057.59697,665.4804538,500.7572207,278.6627088,4.20316853,23.64560423,1158.745404,1.85740346
2020,16530.61057,9421.229997,5014.172602,20631.19068,3639.211581,38211.00448,591.1672993,392.8017303,208.8915445,3.632912545,24.66967163,1013.063882,1.990853575
2021,,,,,,,697.5543296,425.1299613,262.0150293,4.0354172,26.08023933,1089.843999,1.94424684
